,Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
107,114,Mali,4.729,0.352,0.973,0.235,0.378,0.17,0.062,Africa
108,115,Nigeria,4.724,0.646,0.987,0.168,0.435,0.221,0.048,Africa
109,116,Armenia,4.677,0.808,1.035,0.776,0.378,0.107,0.105,Asia
110,117,Georgia,4.673,0.847,0.731,0.695,0.485,0.048,0.174,Asia
111,117,Georgia,4.673,0.847,0.731,0.695,0.485,0.048,0.174,Europe
112,118,Iran,4.672,1.029,0.886,0.749,0.301,0.277,0.143,Asia
113,119,Jordan,4.633,0.785,1.14,0.778,0.425,0.091,0.152,Asia
114,120,Mozambique,4.624,0.179,0.955,0.324,0.561,0.22,0.163,Africa
115,121,Kenya,4.583,0.476,0.905,0.536,0.519,0.394,0.067,Africa
116,122,Namibia,4.571,0.84,1.246,0.407,0.445,0.076,0.054,Africa
117,123,Ukraine,4.561,0.78,1.321,0.699,0.319,0.179,0.01,Europe
118,124,Liberia,4.558,0.174,0.921,0.392,0.406,0.227,0.051,Africa
119,125,Palestine,4.553,0.588,1.195,0.614,0.299,0.092,0.072,Asia
120,126,Uganda,4.432,0.312,1.052,0.378,0.402,0.265,0.064,Africa
121,127,Chad,4.423,0.302,0.739,0.109,0.229,0.211,0.086,Africa
122,128,Tunisia,4.392,0.875,0.872,0.781,0.236,0.056,0.044,Africa
123,129,Mauritania,4.375,0.54,1.113,0.425,0.186,0.129,0.122,Africa
124,130,Sri Lanka,4.327,0.898,1.195,0.792,0.529,0.253,0.049,Asia
125,133,Myanmar,4.308,0.678,1.098,0.495,0.597,0.57,0.188,Asia
126,134,Comoros,4.289,0.416,0.723,0.437,0.181,0.259,0.1,Africa
127,135,Togo,4.187,0.268,0.548,0.343,0.304,0.201,0.115,Africa
128,136,Ethiopia,4.186,0.315,1.001,0.484,0.413,0.228,0.117,Africa
129,137,Madagascar,4.166,0.245,0.824,0.501,0.193,0.191,0.076,Africa
130,138,Egypt,4.151,0.875,0.983,0.597,0.374,0.069,0.095,Africa
131,139,Sierra Leone,3.926,0.241,0.748,0.204,0.382,0.258,0.048,Africa
132,140,Burundi,3.775,0.0,0.404,0.295,0.275,0.187,0.212,Africa
133,141,Zambia,3.759,0.537,0.896,0.364,0.491,0.251,0.087,Africa
134,142,Haiti,3.721,0.285,0.647,0.374,0.169,0.464,0.162,North America
135,143,Lesotho,3.653,0.455,1.089,0.101,0.409,0.103,0.05,Africa
136,144,India,3.573,0.731,0.644,0.541,0.581,0.237,0.106,Asia
137,145,Malawi,3.538,0.177,0.53,0.446,0.487,0.213,0.132,Africa
138,146,Yemen,3.527,0.393,1.177,0.415,0.244,0.095,0.087,Asia
139,147,Botswana,3.479,0.998,1.086,0.494,0.509,0.033,0.102,Africa
140,148,Tanzania,3.476,0.457,0.873,0.443,0.509,0.272,0.204,Africa
141,149,Central African Republic,3.476,0.041,0.0,0.0,0.293,0.254,0.028,Africa
142,150,Rwanda,3.312,0.343,0.523,0.572,0.604,0.236,0.486,Africa
143,151,Zimbabwe,3.299,0.426,1.048,0.375,0.377,0.151,0.081,Africa
144,152,South Sudan,2.817,0.289,0.553,0.209,0.066,0.21,0.111,Africa
145,153,Afghanistan,2.567,0.301,0.356,0.266,0.0,0.135,0.001,Asia
